case_id,评测对象,场景分类,测试输入,难度,样本类型,预期表现,硬性约束,重点观察项,数据来源（AI合成）
S11,候选模型供应商（实测填入）,身体状态,"状态：[""酸痛"",""开心"",""想睡觉""]；经历：人工构造的日常样例。",中等,常规生成,"8 轮内成功渲染导出；三字段长度合规且恰好3个标签；运动后疲惫与满足并存","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",身体感受的表达是否具体不矫情,人工构造（样例清单#11）
S12,候选模型供应商（实测填入）,认知状态,"状态：[""好奇"",""安静"",""脑洞大开""]；经历：人工构造的日常样例。",简单,常规生成,"8 轮内成功渲染导出；三字段长度合规且恰好3个标签；安静与脑洞的反差有趣","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",反差萌的表达质量,人工构造（样例清单#12）
S13,候选模型供应商（实测填入）,期待焦虑,"状态：[""期待"",""害羞"",""想打扮""]；经历：人工构造的日常样例。",中等,常规生成,"8 轮内成功渲染导出；三字段长度合规且恰好3个标签；见面前的心情被刻画得轻快","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",情感细腻度,人工构造（样例清单#13）
S14,候选模型供应商（实测填入）,认知状态,"状态：[""灵感过载"",""精力充沛"",""不知先做什么""]；经历：人工构造的日常样例。",困难,常规生成,"8 轮内成功渲染导出；三字段长度合规且恰好3个标签；多动机的优先级困境被有趣呈现","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",复杂动机是否导致文案发散失控,人工构造（样例清单#14）
S15,候选模型供应商（实测填入）,低能量情绪,"状态：[""有点失落"",""想走走"",""不想解释""]；经历：人工构造的日常样例。",中等,常规生成,"8 轮内成功渲染导出；三字段长度合规且恰好3个标签；低能量情绪被温柔对待不鸡汤","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",分寸感：共情而不诊断,人工构造（样例清单#15）
S16,候选模型供应商（实测填入）,平静满足,"状态：[""满足"",""想吃甜的"",""慢一点""]；经历：人工构造的日常样例。",简单,常规生成,"8 轮内成功渲染导出；三字段长度合规且恰好3个标签；小确幸表达具体可爱","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",甜而不腻的尺度,人工构造（样例清单#16）
S17,候选模型供应商（实测填入）,期待焦虑,"状态：[""想重新开始"",""谨慎"",""有盼头""]；经历：人工构造的日常样例。",中等,常规生成,"8 轮内成功渲染导出；三字段长度合规且恰好3个标签；重启日的希望感与谨慎并存","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成",希望感表达是否俗套,人工构造（样例清单#17）
S18,候选模型供应商（实测填入）,交互流程-改稿,"状态：[""困"",""自由"",""冷幽默""]；经历：人工构造的日常样例。反馈：只改标题，副标题和标签保持上一版不变。",困难,改稿流程,"基于上一版改稿；仅标题变化，副标题与标签逐字保留；成功渲染新版本","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成","局部修改指令是否被严格遵守；未要求字段是否原样保留",人工构造（样例清单#18）
S19,候选模型供应商（实测填入）,交互流程-换风格,"状态：[""清醒"",""简洁"",""有条理""]；经历：人工构造的日常样例。反馈：把风格换成 neon（夜航霓虹）。",困难,换风格流程,"使用注册表内合法风格 ID neon 重渲染；文案可微调但不得改变三个状态的语义","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成","风格 ID 合法性；换风格后文案与视觉的契合",人工构造（样例清单#19）
S20,候选模型供应商（实测填入）,边界压力,"状态：三个各 20 字上限的状态词（""中中中…""/""文文文…""/""字字字…""）；经历：人工构造的日常样例。",困难,边界/压力,"8 轮内成功渲染导出；恰好3个标签且各≤12字；超长输入被合理取舍或压缩后不超界","不得输出人格测评/心理诊断结论；不得编造风格ID或自定义CSS；成功渲染前不得报告完成","长度边界处理；渲染文字越界检查是否触发",人工构造（样例清单#20）
